"TOA5","CR800Series","CR800","24411","CR800.Std.25","CPU:experimento01.CR8","12315","exp01"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","t_terra","t_agua"
"TS","RN","","","",""
"","","Min","Smp","Smp","Smp"
"2024-02-28 07:47:08",0,12.34,25.85,25.44,24.53
"2024-02-28 07:47:09",1,12.33,25.85,25.45,24.49
"2024-02-28 07:47:10",2,12.33,25.85,25.44,24.5
"2024-02-28 07:47:11",3,12.33,25.85,25.4,24.5
"2024-02-28 07:47:12",4,12.33,25.85,25.43,24.48
"2024-02-28 07:47:13",5,12.33,25.85,25.42,24.5
"2024-02-28 07:47:14",6,12.33,25.85,25.42,24.5
"2024-02-28 07:47:15",7,12.33,25.85,25.39,24.53
"2024-02-28 07:47:16",8,12.33,25.85,25.38,24.52
"2024-02-28 07:47:17",9,12.34,25.85,25.4,24.51
"2024-02-28 07:47:18",10,12.33,25.85,25.41,24.53
"2024-02-28 07:47:19",11,12.34,25.85,25.4,24.51
"2024-02-28 07:47:20",12,12.34,25.85,25.4,24.49
"2024-02-28 07:47:21",13,12.34,25.85,25.42,24.5
"2024-02-28 07:47:22",14,12.34,25.85,25.37,24.49
"2024-02-28 07:47:23",15,12.34,25.85,25.4,24.49
"2024-02-28 07:47:24",16,12.34,25.85,25.39,24.5
"2024-02-28 07:47:25",17,12.34,25.85,25.41,24.52
"2024-02-28 07:47:26",18,12.34,25.85,25.42,24.52
"2024-02-28 07:47:27",19,12.34,25.85,25.42,24.55
"2024-02-28 07:47:28",20,12.34,25.85,25.44,24.52
"2024-02-28 07:47:29",21,12.34,25.85,25.47,24.55
"2024-02-28 07:47:30",22,12.34,25.85,25.46,24.51
"2024-02-28 07:47:31",23,12.35,25.83,25.44,24.49
"2024-02-28 07:47:32",24,12.34,25.85,25.46,24.48
"2024-02-28 07:47:33",25,12.34,25.83,25.44,24.42
"2024-02-28 07:47:34",26,12.35,25.85,25.48,24.46
"2024-02-28 07:47:35",27,12.34,25.85,25.49,24.46
"2024-02-28 07:47:36",28,12.34,25.83,25.47,24.41
"2024-02-28 07:47:37",29,12.34,25.83,25.45,24.4
"2024-02-28 07:47:38",30,12.34,25.83,25.46,24.41
"2024-02-28 07:47:39",31,12.35,25.83,25.45,24.41
"2024-02-28 07:47:40",32,12.34,25.83,25.45,24.43
"2024-02-28 07:47:41",33,12.34,25.83,25.44,24.44
"2024-02-28 07:47:42",34,12.34,25.83,25.43,24.44
"2024-02-28 07:47:43",35,12.34,25.83,25.44,24.43
"2024-02-28 07:47:44",36,12.34,25.83,25.42,24.43
"2024-02-28 07:47:45",37,12.34,25.83,25.41,24.43
"2024-02-28 07:47:46",38,12.34,25.83,25.4,24.44
"2024-02-28 07:47:47",39,12.34,25.83,25.43,24.43
"2024-02-28 07:47:48",40,12.34,25.83,25.44,24.44
"2024-02-28 07:47:49",41,12.35,25.83,25.44,24.42
"2024-02-28 07:47:50",42,12.34,25.83,25.49,24.41
"2024-02-28 07:47:51",43,12.34,25.83,25.45,24.41
"2024-02-28 07:47:52",44,12.34,25.83,25.44,24.36
"2024-02-28 07:47:53",45,12.34,25.83,25.43,24.31
"2024-02-28 07:47:54",46,12.34,25.83,25.43,24.3
"2024-02-28 07:47:55",47,12.34,25.83,25.41,24.33
"2024-02-28 07:47:56",48,12.34,25.83,25.41,24.34
"2024-02-28 07:47:57",49,12.34,25.83,25.42,24.38
"2024-02-28 07:47:58",50,12.34,25.83,25.42,24.39
"2024-02-28 07:47:59",51,12.34,25.83,25.41,24.4
"2024-02-28 07:48:00",52,12.34,25.83,25.43,24.43
"2024-02-28 07:48:01",53,12.34,25.83,25.43,24.45
"2024-02-28 07:48:02",54,12.34,25.83,25.42,24.46
"2024-02-28 07:48:03",55,12.34,25.83,25.4,24.52
"2024-02-28 07:48:04",56,12.34,25.83,25.39,24.52
"2024-02-28 07:48:05",57,12.34,25.83,25.41,24.5
"2024-02-28 07:48:06",58,12.34,25.83,25.39,24.52
"2024-02-28 07:48:07",59,12.34,25.83,25.39,24.53
"2024-02-28 07:48:08",60,12.34,25.83,25.42,24.54
"2024-02-28 07:48:09",61,12.34,25.83,25.41,24.56
"2024-02-28 07:48:10",62,12.35,25.83,25.41,24.55
"2024-02-28 07:48:11",63,12.34,25.83,25.44,24.54
"2024-02-28 07:48:12",64,12.34,25.83,25.42,24.53
"2024-02-28 07:48:13",65,12.34,25.83,25.45,24.53
"2024-02-28 07:48:14",66,12.34,25.83,25.44,24.53
"2024-02-28 07:48:15",67,12.35,25.83,25.45,24.54
"2024-02-28 07:48:16",68,12.35,25.83,25.44,24.54
"2024-02-28 07:48:17",69,12.35,25.83,25.47,24.53
"2024-02-28 07:48:18",70,12.35,25.83,25.44,24.51
"2024-02-28 07:48:19",71,12.35,25.83,25.49,24.51
"2024-02-28 07:48:20",72,12.34,25.83,25.49,24.53
"2024-02-28 07:48:21",73,12.35,25.83,25.49,24.55
"2024-02-28 07:48:22",74,12.34,25.83,25.52,24.53
"2024-02-28 07:48:23",75,12.34,25.83,25.52,24.52
"2024-02-28 07:48:24",76,12.35,25.83,25.49,24.48
"2024-02-28 07:48:25",77,12.34,25.83,25.5,24.41
"2024-02-28 07:48:26",78,12.34,25.83,25.5,24.43
"2024-02-28 07:48:27",79,12.34,25.83,25.49,24.38
"2024-02-28 07:48:28",80,12.34,25.83,25.48,24.33
"2024-02-28 07:48:29",81,12.34,25.83,25.47,24.33
"2024-02-28 07:48:30",82,12.34,25.83,25.47,24.33
"2024-02-28 07:48:31",83,12.34,25.83,25.48,24.33
"2024-02-28 07:48:32",84,12.34,25.83,25.44,24.31
"2024-02-28 07:48:33",85,12.34,25.83,25.45,24.31
"2024-02-28 07:48:34",86,12.34,25.83,25.44,24.32
"2024-02-28 07:48:35",87,12.34,25.83,25.44,24.33
"2024-02-28 07:48:36",88,12.34,25.83,25.44,24.34
"2024-02-28 07:48:37",89,12.34,25.83,25.45,24.36
"2024-02-28 07:48:38",90,12.34,25.83,25.46,24.39
"2024-02-28 07:48:39",91,12.34,25.83,25.45,24.41
"2024-02-28 07:48:40",92,12.34,25.83,25.46,24.43
"2024-02-28 07:48:41",93,12.34,25.83,25.45,24.42
"2024-02-28 07:48:42",94,12.35,25.83,25.47,24.41
"2024-02-28 07:48:43",95,12.35,25.83,25.48,24.39
"2024-02-28 07:48:44",96,12.35,25.83,25.48,24.41
"2024-02-28 07:48:45",97,12.35,25.83,25.49,24.43
"2024-02-28 07:48:46",98,12.35,25.83,25.45,24.5
"2024-02-28 07:48:47",99,12.34,25.83,25.47,24.52
"2024-02-28 07:48:48",100,12.34,25.83,25.45,24.55
"2024-02-28 07:48:49",101,12.34,25.83,25.48,24.59
"2024-02-28 07:48:50",102,12.34,25.79,25.31,24.53
"2024-02-28 07:48:51",103,12.34,25.79,25.4,24.57
"2024-02-28 07:48:52",104,12.34,25.79,25.39,24.55
"2024-02-28 07:48:53",105,12.34,25.79,25.37,24.55
"2024-02-28 07:48:54",106,12.34,25.79,25.43,24.57
"2024-02-28 07:48:55",107,12.34,25.79,25.42,24.58
"2024-02-28 07:48:56",108,12.34,25.79,25.45,24.58
"2024-02-28 07:48:57",109,12.34,25.79,25.43,24.59
"2024-02-28 07:48:58",110,12.34,25.79,25.43,24.58
"2024-02-28 07:48:59",111,12.34,25.79,25.42,24.58
"2024-02-28 07:49:00",112,12.34,25.79,25.41,24.54
"2024-02-28 07:49:01",113,12.34,25.79,25.38,24.51
"2024-02-28 07:49:02",114,12.35,25.79,25.34,24.47
"2024-02-28 07:49:03",115,12.35,25.79,25.32,24.44
"2024-02-28 07:49:04",116,12.35,25.79,25.35,24.45
"2024-02-28 07:49:05",117,12.35,25.79,25.29,24.44
"2024-02-28 07:49:06",118,12.35,25.79,25.29,24.44
"2024-02-28 07:49:07",119,12.35,25.79,25.28,24.44
"2024-02-28 07:49:08",120,12.35,25.79,25.27,24.4
"2024-02-28 07:49:09",121,12.35,25.79,25.29,24.39
"2024-02-28 07:49:10",122,12.35,25.79,25.29,24.35
"2024-02-28 07:49:11",123,12.35,25.79,25.29,24.32
"2024-02-28 07:49:12",124,12.35,25.79,25.26,24.39
"2024-02-28 07:49:13",125,12.35,25.79,25.29,24.43
"2024-02-28 07:49:14",126,12.35,25.79,25.28,24.49
"2024-02-28 07:49:15",127,12.35,25.79,25.32,24.51
"2024-02-28 07:49:16",128,12.35,25.79,25.3,24.53
"2024-02-28 07:49:17",129,12.35,25.79,25.3,24.55
"2024-02-28 07:49:18",130,12.35,25.79,25.31,24.56
"2024-02-28 07:49:19",131,12.35,25.79,25.29,24.61
"2024-02-28 07:49:20",132,12.35,25.79,25.3,24.59
"2024-02-28 07:49:21",133,12.34,25.79,25.3,24.58
"2024-02-28 07:49:22",134,12.35,25.79,25.31,24.59
"2024-02-28 07:49:23",135,12.35,25.79,25.31,24.58
"2024-02-28 07:49:24",136,12.35,25.79,25.3,24.61
"2024-02-28 07:49:25",137,12.35,25.79,25.3,24.56
"2024-02-28 07:49:26",138,12.35,25.79,25.31,24.55
"2024-02-28 07:49:27",139,12.34,25.79,25.31,24.58
"2024-02-28 07:49:28",140,12.34,25.79,25.31,24.51
"2024-02-28 07:49:29",141,12.35,25.76,25.26,24.42
"2024-02-28 07:49:30",142,12.35,25.79,25.26,24.44
"2024-02-28 07:49:31",143,12.35,25.76,25.24,24.36
"2024-02-28 07:49:32",144,12.35,25.79,25.27,24.36
"2024-02-28 07:49:33",145,12.35,25.79,25.28,24.37
"2024-02-28 07:49:34",146,12.35,25.76,25.22,24.33
"2024-02-28 07:49:35",147,12.35,25.79,25.26,24.38
"2024-02-28 07:49:36",148,12.35,25.76,25.24,24.32
"2024-02-28 07:49:37",149,12.35,25.76,25.23,24.36
"2024-02-28 07:49:38",150,12.35,25.76,25.23,24.38
"2024-02-28 07:49:39",151,12.35,25.76,25.26,24.39
"2024-02-28 07:49:40",152,12.35,25.76,25.24,24.43
"2024-02-28 07:49:41",153,12.35,25.76,25.22,24.39
"2024-02-28 07:49:42",154,12.35,25.76,25.21,24.38
"2024-02-28 07:49:43",155,12.35,25.79,25.23,24.4
"2024-02-28 07:49:44",156,12.34,25.76,25.18,24.36
"2024-02-28 07:49:45",157,12.35,25.79,25.2,24.39
"2024-02-28 07:49:46",158,12.34,25.76,25.17,24.36
"2024-02-28 07:49:47",159,12.35,25.76,25.15,24.35
"2024-02-28 07:49:48",160,12.34,25.76,25.14,24.35
"2024-02-28 07:49:49",161,12.34,25.79,25.16,24.39
"2024-02-28 07:49:50",162,12.35,25.76,25.12,24.33
"2024-02-28 07:49:51",163,12.35,25.76,25.1,24.32
"2024-02-28 07:49:52",164,12.34,25.76,25.13,24.32
"2024-02-28 07:49:53",165,12.35,25.76,25.12,24.36
"2024-02-28 07:49:54",166,12.34,25.76,25.14,24.35
"2024-02-28 07:49:55",167,12.34,25.76,25.12,24.36
"2024-02-28 07:49:56",168,12.35,25.76,25.14,24.35
"2024-02-28 07:49:57",169,12.35,25.76,25.16,24.35
"2024-02-28 07:49:58",170,12.35,25.76,25.14,24.35
"2024-02-28 07:49:59",171,12.35,25.76,25.17,24.34
"2024-02-28 07:50:00",172,12.34,25.76,25.17,24.36
"2024-02-28 07:50:01",173,12.34,25.76,25.18,24.36
"2024-02-28 07:50:02",174,12.34,25.76,25.18,24.39
"2024-02-28 07:50:03",175,12.34,25.76,25.19,24.41
"2024-02-28 07:50:04",176,12.34,25.76,25.19,24.43
"2024-02-28 07:50:05",177,12.35,25.76,25.19,24.44
"2024-02-28 07:50:06",178,12.34,25.76,25.18,24.43
"2024-02-28 07:50:07",179,12.34,25.76,25.16,24.45
"2024-02-28 07:50:08",180,12.34,25.76,25.18,24.47
"2024-02-28 07:50:09",181,12.34,25.76,25.18,24.46
"2024-02-28 07:50:10",182,12.34,25.76,25.18,24.47
"2024-02-28 07:50:11",183,12.34,25.76,25.2,24.46
"2024-02-28 07:50:12",184,12.34,25.76,25.21,24.46
